open_time,open,high,low,close,volume,close_time,quote_volume,num_trades,taker_buy_base,taker_buy_quote,ignore
2026-02-17 03:00:00,0.2447,0.2469,0.2416,0.2455,1862905.0,2026-02-17 03:59:59.999,453421.0643000,6332,896396,218420.4247000,0
2026-02-17 04:00:00,0.2456,0.2473,0.2426,0.2452,2126793.0,2026-02-17 04:59:59.999,521179.2067000,7016,974651,238911.3033000,0
2026-02-17 05:00:00,0.2454,0.2514,0.2433,0.2485,4207455.0,2026-02-17 05:59:59.999,1041437.0502000,11159,2046194,506065.6338000,0
2026-02-17 06:00:00,0.2485,0.251,0.2435,0.2475,3575487.0,2026-02-17 06:59:59.999,883701.3100000,9802,2005739,496197.6627000,0
2026-02-17 07:00:00,0.2474,0.2495,0.245,0.2453,1531739.0,2026-02-17 07:59:59.999,378731.3669000,5773,680460,168314.9449000,0
2026-02-17 08:00:00,0.2452,0.2493,0.245,0.2463,2009339.0,2026-02-17 08:59:59.999,496571.9446000,6587,909836,224793.9700000,0
2026-02-17 09:00:00,0.2463,0.2474,0.2427,0.2458,1919759.0,2026-02-17 09:59:59.999,470888.3203000,6341,1087946,266883.8032000,0
2026-02-17 10:00:00,0.2458,0.2494,0.2433,0.2489,1698130.0,2026-02-17 10:59:59.999,417609.0546000,5968,789373,194259.8475000,0
2026-02-17 11:00:00,0.2489,0.2557,0.2481,0.2522,3012313.0,2026-02-17 11:59:59.999,760573.8674000,11150,1450171,366064.7619000,0
2026-02-17 12:00:00,0.2521,0.2547,0.2475,0.2517,2300966.0,2026-02-17 12:59:59.999,577152.2458000,8865,1068399,268144.6848000,0
2026-02-17 13:00:00,0.2517,0.2519,0.2447,0.2502,3027335.0,2026-02-17 13:59:59.999,753327.0668000,9814,1457665,362725.1047000,0
2026-02-17 14:00:00,0.2503,0.2538,0.2463,0.2522,2971053.0,2026-02-17 14:59:59.999,742570.0174000,12299,1496977,374266.9130000,0
2026-02-17 15:00:00,0.2524,0.2552,0.2476,0.2514,2909294.0,2026-02-17 15:59:59.999,730097.5340000,10540,1575464,395205.0793000,0
