open_time,open,high,low,close,volume,close_time,quote_volume,num_trades,taker_buy_base,taker_buy_quote,ignore
2023-07-06,238.84,244.44,231.1,231.92,2085629.96,2023-07-06 23:59:59.999,496653730.25647,712300,986485.70,234989578.99353,0
2023-07-07,231.93,236.13,230.51,235.43,1356610.54,2023-07-07 23:59:59.999,317310576.65031,447951,687267.84,160753096.75461,0
2023-07-08,235.44,237.47,233.53,236.13,789956.21,2023-07-08 23:59:59.999,186399353.91310,282868,385331.63,90933072.26070,0
2023-07-09,236.13,236.99,232.58,233.91,725965.91,2023-07-09 23:59:59.999,170438016.02080,262380,358083.93,84086666.66490,0
2023-07-10,233.91,246.3,231.0,245.97,3648725.07,2023-07-10 23:59:59.999,881325579.63641,1071008,1856059.33,448294430.75439,0
2023-07-11,245.97,249.44,244.18,248.34,1925877.89,2023-07-11 23:59:59.999,475218947.79122,607807,956668.05,236126264.62962,0
2023-07-12,248.33,250.07,242.12,243.7,1827922.1,2023-07-12 23:59:59.999,450489570.87266,631108,904482.50,222939572.38379,0
2023-07-13,243.69,259.02,242.41,255.99,2956153.81,2023-07-13 23:59:59.999,740952661.79656,956503,1509160.35,378410755.61610,0
2023-07-14,255.99,261.38,241.04,247.89,3055424.75,2023-07-14 23:59:59.999,773137448.21209,1057897,1492916.56,377740125.23058,0
2023-07-15,247.89,252.0,246.51,250.79,1134172.85,2023-07-15 23:59:59.999,283272494.32709,424830,549320.45,137222504.22679,0
2023-07-16,250.78,251.7,241.12,241.91,1387170.22,2023-07-16 23:59:59.999,342203937.62817,497644,677379.71,167128844.85400,0
2023-07-17,241.9,244.98,238.0,244.03,2391936.14,2023-07-17 23:59:59.999,579708082.88483,792425,1194365.40,289476796.50675,0
2023-07-18,244.03,246.5,237.0,240.48,2459009.48,2023-07-18 23:59:59.999,594173699.48215,785457,1219690.27,294726265.90652,0
2023-07-19,240.47,244.3,239.85,241.05,1359015.04,2023-07-19 23:59:59.999,329055335.43185,508200,674827.72,163406123.55395,0
2023-07-20,241.06,245.26,240.49,242.93,1337104.92,2023-07-20 23:59:59.999,324671366.99770,529413,663578.87,161147432.90710,0
2023-07-21,242.94,245.66,242.21,243.88,951563.51,2023-07-21 23:59:59.999,232355760.13450,370928,476056.45,116250019.72820,0
2023-07-22,243.89,245.08,240.18,241.23,612751.51,2023-07-22 23:59:59.999,148814637.09440,281418,298140.80,72411919.39930,0
