open_time,open,high,low,close,volume,close_time,quote_volume,num_trades,taker_buy_base,taker_buy_quote,ignore
2025-10-17,4.5,4.671,2.92,3.728,22319868.6,2025-10-17 23:59:59.999,81379256.6770000,1162800,11147033.4,40669487.3027000,0
2025-10-18,3.726,5.465,3.087,4.357,43012922.5,2025-10-18 23:59:59.999,182410808.5071000,2495127,21463837.0,91031896.8922000,0
2025-10-19,4.357,4.615,3.573,3.999,26685052.7,2025-10-19 23:59:59.999,107739027.7959000,1731978,13075476.6,52812365.6390000,0
2025-10-20,3.999,4.359,3.432,4.231,11272612.9,2025-10-20 23:59:59.999,43887586.5869000,754137,5559842.4,21687884.7564000,0
2025-10-21,4.23,8.977,3.932,5.544,52871701.3,2025-10-21 23:59:59.999,327878435.2244000,3339160,26892411.9,166791117.8908000,0
2025-10-22,5.544,8.77,4.639,8.133,52337997.1,2025-10-22 23:59:59.999,366582155.7662000,4129260,26097517.5,183305418.2359000,0
2025-10-23,8.133,10.446,7.352,9.726,47947956.8,2025-10-23 23:59:59.999,423439119.8117000,4567040,24829065.0,219667990.1655000,0
2025-10-24,9.727,10.424,6.607,6.713,28137177.7,2025-10-24 23:59:59.999,244222958.9512000,3689212,14184679.2,123327519.2422000,0
2025-10-25,6.714,7.886,6.408,7.511,14721940.6,2025-10-25 23:59:59.999,103606828.4394000,1714816,7208015.0,50770523.7991000,0
2025-10-26,7.514,7.67,6.905,7.293,6782094.0,2025-10-26 23:59:59.999,49140842.2394000,934190,3290473.8,23839583.4357000,0
2025-10-27,7.291,7.765,6.608,7.251,8133960.6,2025-10-27 23:59:59.999,58229172.0416000,895129,4060692.2,29096941.5754000,0
2025-10-28,7.249,8.699,6.898,8.143,21831484.7,2025-10-28 23:59:59.999,174116911.3983000,2502013,10702804.2,85452746.0704000,0
2025-10-29,8.141,8.438,7.607,8.204,6995965.3,2025-10-29 23:59:59.999,55735451.1134000,842943,3571094.9,28458046.4786000,0
2025-10-30,8.203,8.434,7.349,7.415,4749267.9,2025-10-30 23:59:59.999,36987410.8740000,615022,2303945.6,17960302.0506000,0
2025-10-31,7.414,8.0,6.962,7.394,5025791.7,2025-10-31 23:59:59.999,37472144.3257000,699467,2501260.3,18685086.2515000,0
2025-11-01,7.394,7.499,7.1,7.302,1683789.9,2025-11-01 23:59:59.999,12276276.9546000,272354,844705.2,6157440.2165000,0
2025-11-02,7.301,8.5,6.91,7.574,4376214.9,2025-11-02 23:59:59.999,33107505.8676000,520085,2158529.9,16379671.9774000,0
2025-11-03,7.574,8.11,7.021,8.015,3944149.0,2025-11-03 23:59:59.999,29274122.9503000,405100,1920215.2,14278317.7312000,0
2025-11-04,8.015,8.051,6.9,7.292,4713882.2,2025-11-04 23:59:59.999,35850270.1517000,674799,2265806.7,17273367.0185000,0
2025-11-05,7.292,7.609,6.977,7.299,1968102.9,2025-11-05 23:59:59.999,14270824.4969000,324335,982045.3,7122453.3805000,0
2025-11-06,7.299,8.179,6.51,7.917,5469638.0,2025-11-06 23:59:59.999,41070903.6500000,730804,2757788.8,20768160.5500000,0
2025-11-07,7.922,7.957,7.195,7.28,3206964.5,2025-11-07 23:59:59.999,24248032.1452000,506786,1547225.6,11709285.7761000,0
2025-11-08,7.28,7.561,6.719,6.757,1840352.9,2025-11-08 23:59:59.999,13059319.1599000,308204,892776.4,6344684.0546000,0
2025-11-09,6.756,8.062,6.596,7.257,6417308.8,2025-11-09 23:59:59.999,47204714.0000000,819559,3187547.2,23488845.5356000,0
2025-11-10,7.257,7.323,7.001,7.233,1311137.2,2025-11-10 23:59:59.999,9378225.6550000,213553,652539.4,4670618.0911000,0
2025-11-11,7.235,7.508,7.08,7.268,1418247.0,2025-11-11 23:59:59.999,10346276.8590000,221975,690118.3,5037071.0619000,0
2025-11-12,7.268,7.95,7.233,7.275,1640102.6,2025-11-12 23:59:59.999,12229898.2729000,178838,810673.0,6052639.3658000,0
2025-11-13,7.275,7.341,7.0,7.111,966579.9,2025-11-13 23:59:59.999,6929116.8769000,137539,460462.4,3303621.6962000,0
2025-11-14,7.11,7.135,3.78,4.171,13476633.1,2025-11-14 23:59:59.999,62668446.1043000,772195,6678527.8,30918340.0668000,0
2025-11-15,4.17,5.14,3.42,4.626,23841816.0,2025-11-15 23:59:59.999,104539747.6636000,1308464,12102639.4,53087289.3763000,0
2025-11-16,4.626,4.828,3.64,4.078,9466061.2,2025-11-16 23:59:59.999,39254365.2239000,826070,4698521.9,19493295.7573000,0
2025-11-17,4.078,4.123,3.519,3.954,4946148.3,2025-11-17 23:59:59.999,18929623.9786000,380690,2452500.0,9390439.9325000,0
2025-11-18,3.955,4.175,3.677,3.807,3394356.2,2025-11-18 23:59:59.999,13328575.7635000,278280,1705517.1,6691390.6668000,0
2025-11-19,3.808,4.251,3.511,3.715,4711239.2,2025-11-19 23:59:59.999,18253460.0088000,294563,2471248.1,9563655.1881000,0
2025-11-20,3.714,3.725,3.312,3.421,2528142.7,2025-11-20 23:59:59.999,8874132.7643000,161036,1243176.1,4359630.3407000,0
2025-11-21,3.421,3.636,3.157,3.463,2676062.2,2025-11-21 23:59:59.999,9070823.5246000,171187,1371922.3,4646136.0880000,0
2025-11-22,3.464,3.852,3.322,3.471,2406151.2,2025-11-22 23:59:59.999,8514141.0699000,145447,1196606.2,4228147.2840000,0
2025-11-23,3.47,3.801,3.438,3.62,1157995.3,2025-11-23 23:59:59.999,4206436.2893000,70263,553027.6,2007862.5143000,0
2025-11-24,3.619,3.89,3.422,3.81,902642.0,2025-11-24 23:59:59.999,3273584.0030000,49596,418043.0,1517133.9939000,0
2025-11-25,3.809,3.902,3.503,3.627,860882.0,2025-11-25 23:59:59.999,3156793.1525000,47285,418067.4,1533547.2807000,0
2025-11-26,3.628,4.041,3.519,3.85,1270935.7,2025-11-26 23:59:59.999,4693154.8415000,70879,625707.4,2309053.7847000,0
2025-11-27,3.85,3.926,3.527,3.568,783823.8,2025-11-27 23:59:59.999,2869121.4927000,41873,393852.9,1441648.1963000,0
2025-11-28,3.568,4.59,3.118,3.594,11839288.1,2025-11-28 23:59:59.999,47090960.7799000,542601,5717881.9,22823950.1197000,0
2025-11-29,3.594,4.212,3.423,3.482,14060337.9,2025-11-29 23:59:59.999,53896503.0236000,771713,6809869.0,26114222.0873000,0
2025-11-30,3.483,4.477,3.339,3.823,13001408.3,2025-11-30 23:59:59.999,51214491.8418000,845918,6383522.9,25181197.8932000,0
2025-12-01,3.824,4.019,3.538,3.735,5161609.6,2025-12-01 23:59:59.999,19474735.4308000,477947,2527544.1,9545518.0174000,0
2025-12-02,3.734,4.55,3.716,3.98,6300177.9,2025-12-02 23:59:59.999,26205687.0425000,508189,3132176.3,13018399.0158000,0
2025-12-03,3.979,4.081,3.762,3.87,1749030.1,2025-12-03 23:59:59.999,6872619.8323000,159088,856505.4,3368360.9718000,0
2025-12-04,3.87,4.884,3.751,4.573,10840361.3,2025-12-04 23:59:59.999,49632952.1493000,675416,5435697.4,24897781.0187000,0
2025-12-05,4.574,4.966,4.14,4.525,11749967.2,2025-12-05 23:59:59.999,55106675.6682000,602148,5855204.1,27491491.0370000,0
2025-12-06,4.526,4.533,4.2,4.234,1934141.5,2025-12-06 23:59:59.999,8435789.7473000,175990,960375.5,4191088.4241000,0
2025-12-07,4.235,4.308,4.002,4.21,1666976.7,2025-12-07 23:59:59.999,6962383.1243000,151712,790059.0,3302732.0049000,0
2025-12-08,4.213,4.434,4.185,4.353,1536526.4,2025-12-08 23:59:59.999,6574867.5017000,136941,789943.6,3381297.6305000,0
2025-12-09,4.356,5.378,4.249,5.269,11820086.7,2025-12-09 23:59:59.999,58664516.3701000,694915,5961696.3,29575762.4354000,0
2025-12-10,5.27,6.392,5.215,6.26,14063104.2,2025-12-10 23:59:59.999,82500187.2498000,803816,7193288.7,42231236.2623000,0
2025-12-11,6.259,6.883,5.855,6.502,5586810.6,2025-12-11 23:59:59.999,35356881.8651000,571809,2735412.9,17322041.2993000,0
2025-12-12,6.5,7.6,5.412,6.965,13724886.8,2025-12-12 23:59:59.999,94647756.5229000,1239236,7095795.6,48956690.5366000,0
2025-12-13,6.965,8.428,6.718,8.428,5519517.8,2025-12-13 23:59:59.999,40250495.7021000,628589,2865360.7,20903381.3314000,0
2025-12-14,8.419,8.536,5.321,5.879,12898684.5,2025-12-14 23:59:59.999,85020078.2546000,1531411,6183927.5,40599758.5876000,0
2025-12-15,5.877,5.936,3.883,4.514,11349089.0,2025-12-15 23:59:59.999,51526748.5390000,836235,5296611.3,24016673.1638000,0
2025-12-16,4.515,4.675,2.577,3.072,16091489.1,2025-12-16 23:59:59.999,50859657.9060000,817697,7571624.4,23793883.7548000,0
2025-12-17,3.072,3.174,1.616,2.778,91318963.7,2025-12-17 23:59:59.999,209673342.1133000,2606269,44482626.9,102235014.3781000,0
2025-12-18,2.78,3.532,2.629,3.428,71445017.9,2025-12-18 23:59:59.999,223660686.1051000,2755111,35398265.4,110929122.5902000,0
2025-12-19,3.426,4.059,3.071,3.711,32195397.5,2025-12-19 23:59:59.999,112797210.8989000,1440224,15860343.9,55552233.0215000,0
2025-12-20,3.71,4.8,3.466,4.133,23396468.5,2025-12-20 23:59:59.999,98539504.6785000,1315611,11577496.7,48837919.5202000,0
2025-12-21,4.132,4.925,3.89,4.515,12187662.9,2025-12-21 23:59:59.999,52294383.5368000,996542,5989322.2,25720215.1354000,0
2025-12-22,4.513,5.869,4.485,5.523,33237933.4,2025-12-22 23:59:59.999,182189597.5887000,2451215,17089944.3,93723783.2883000,0
2025-12-23,5.522,5.672,4.496,4.811,15741607.6,2025-12-23 23:59:59.999,79024517.5154000,1236380,7855926.9,39435922.2673000,0
2025-12-24,4.811,5.218,3.181,3.439,21522047.4,2025-12-24 23:59:59.999,82442647.4702000,1340078,10842157.7,41456145.9352000,0
2025-12-25,3.44,3.999,2.788,3.654,25361901.8,2025-12-25 23:59:59.999,85620095.5499000,1484141,12591517.4,42562306.3326000,0
2025-12-26,3.653,4.24,3.596,3.867,25803097.5,2025-12-26 23:59:59.999,101329958.9747000,1379554,13037692.0,51189749.6993000,0
2025-12-27,3.868,4.194,3.739,4.087,5785553.0,2025-12-27 23:59:59.999,22819224.1550000,393270,2847757.9,11241339.6675000,0
2025-12-28,4.088,5.037,4.034,4.515,16637147.5,2025-12-28 23:59:59.999,77019956.1258000,920903,8399494.5,38919844.1605000,0
2025-12-29,4.514,6.077,4.386,4.985,20548656.7,2025-12-29 23:59:59.999,108419412.0080000,1344218,10476551.9,55278642.1225000,0
2025-12-30,4.985,5.498,3.953,4.896,24692661.8,2025-12-30 23:59:59.999,118353212.4449000,1691129,12521989.0,60051827.7464000,0
2025-12-31,4.897,11.48,4.893,10.936,116086254.6,2025-12-31 23:59:59.999,969953425.3967000,9315452,59481915.3,496869479.6056000,0
2026-01-01,10.933,14.986,7.006,14.135,128960003.0,2026-01-01 23:59:59.999,1365846793.6846000,15370490,66761160.8,707489039.4483000,0
2026-01-02,14.131,17.8,11.263,16.644,107882380.5,2026-01-02 23:59:59.999,1541089164.3797000,14030586,55133220.8,788163126.7619000,0
2026-01-03,16.641,17.6,11.702,12.265,59913182.9,2026-01-03 23:59:59.999,855752857.9587000,9196756,30145341.9,430773750.6736000,0
2026-01-04,12.263,16.699,10.934,12.233,59886330.4,2026-01-04 23:59:59.999,812417275.1582000,8932362,30304210.1,411324723.6440000,0
2026-01-05,12.234,19.6,11.855,16.151,103124647.5,2026-01-05 23:59:59.999,1685226895.8213000,13228826,52096337.8,851900659.4388000,0
2026-01-06,16.156,23.877,13.943,18.655,82836858.2,2026-01-06 23:59:59.999,1554620142.1780000,13938695,42008291.8,788055075.8920000,0
2026-01-07,18.655,20.486,15.123,17.016,40391876.4,2026-01-07 23:59:59.999,718184762.2861000,6713505,20313067.9,361409250.9011000,0
2026-01-08,17.016,17.967,14.77,14.93,19010225.5,2026-01-08 23:59:59.999,308300140.1249000,3507551,9534107.4,154741704.1011000,0
2026-01-09,14.93,16.642,11.775,11.96,34073424.7,2026-01-09 23:59:59.999,478143092.9166000,6077212,16998370.4,238796207.8622000,0
2026-01-10,11.959,15.49,11.503,13.795,26414181.2,2026-01-10 23:59:59.999,357337815.6790000,4368002,13516837.3,182855065.2152000,0
2026-01-11,13.792,17.81,13.66,16.774,27937677.7,2026-01-11 23:59:59.999,441809902.4819000,5292793,14142355.1,223655228.8665000,0
2026-01-12,16.775,21.943,16.384,20.801,31359861.4,2026-01-12 23:59:59.999,600310089.2710000,6166392,16141627.4,309185145.0899000,0
2026-01-13,20.801,22.8,18.082,21.44,32617098.9,2026-01-13 23:59:59.999,673062899.9257000,6442671,16705658.3,344862195.2468000,0
2026-01-14,21.44,31.473,20.665,21.006,51950564.4,2026-01-14 23:59:59.999,1340049782.4230000,13121314,26657866.8,687823519.9694000,0
2026-01-15,21.018,25.83,16.9,24.659,37235021.7,2026-01-15 23:59:59.999,800792107.6898000,10431305,18841688.5,405683082.6019000,0
2026-01-16,24.652,34.855,22.141,23.366,56932396.8,2026-01-16 23:59:59.999,1567171712.1171000,15642480,28520595.2,785144504.6563000,0
2026-01-17,23.369,26.725,16.12,19.417,39076353.0,2026-01-17 23:59:59.999,807032938.7033000,11115574,19245447.7,397802103.6018000,0
2026-01-18,19.417,29.149,18.2,27.155,33897150.7,2026-01-18 23:59:59.999,847899868.6663000,10014963,17201287.2,430563416.4456000,0
2026-01-19,27.154,31.663,21.88,29.744,28212638.9,2026-01-19 23:59:59.999,773921077.3058000,9866926,14481317.6,397573808.2637000,0
2026-01-20,29.747,38.2,29.252,35.546,23365134.3,2026-01-20 23:59:59.999,783142734.1276000,8954590,12107508.7,406274655.6120000,0
2026-01-21,35.544,46.911,33.2,43.508,29285318.9,2026-01-21 23:59:59.999,1218316039.2301000,11736909,14963353.7,622428519.2423000,0
2026-01-22,43.48,66.071,28.888,57.281,42370842.5,2026-01-22 23:59:59.999,1972642245.8876000,16725702,21498948.3,1003186945.1205000,0
2026-01-23,57.265,61.395,30.688,38.542,37629705.3,2026-01-23 23:59:59.999,1622053490.6364000,16998410,18847362.4,811448709.1018000,0
2026-01-24,38.541,61.521,38.396,60.798,17452057.2,2026-01-24 23:59:59.999,881014540.4576000,9694584,8909516.0,449969491.9924000,0
2026-01-25,60.805,79.808,53.666,69.789,16883558.6,2026-01-25 23:59:59.999,1095204713.6739000,9745749,8697174.7,564996792.7862000,0
2026-01-26,69.778,86.0,67.05,77.729,19229280.5,2026-01-26 23:59:59.999,1470288249.7050000,13200538,9602712.4,734981966.9644000,0
2026-01-27,77.735,77.999,53.149,63.121,24709104.4,2026-01-27 23:59:59.999,1527903912.4384000,16495121,12272225.6,758457202.0830000,0
2026-01-28,63.121,75.2,46.5,50.044,21498528.6,2026-01-28 23:59:59.999,1211992188.2364000,14293853,10589990.6,597328752.6076000,0
2026-01-29,50.043,54.5,40.794,43.849,15905939.2,2026-01-29 23:59:59.999,746460370.6059000,8739308,7816978.2,367338436.3887000,0
2026-01-30,43.849,47.678,33.722,35.901,14074550.7,2026-01-30 23:59:59.999,546621737.1392000,8504855,6985850.8,271451861.2202000,0
2026-01-31,35.901,36.852,25.065,26.006,15579640.4,2026-01-31 23:59:59.999,468862188.9961000,5969552,7770842.9,233860839.4773000,0
2026-02-01,26.006,26.468,10.255,15.669,84086416.1,2026-02-01 23:59:59.999,1408707413.4533000,19074815,43076419.7,722143956.2037000,0
2026-02-02,15.67,24.795,14.237,17.74,70018784.9,2026-02-02 23:59:59.999,1355400083.5709000,19730410,35166315.5,681062283.7419000,0
2026-02-03,17.739,18.365,12.124,12.693,55786988.5,2026-02-03 23:59:59.999,808116682.5333000,10296260,27632855.8,400372473.0380000,0
2026-02-04,12.691,17.489,11.812,14.016,53965731.1,2026-02-04 23:59:59.999,807088840.2999000,10240051,27242956.4,407260956.4508000,0
